place,mag,time,felt
"32km WNW of Hengchun, Taiwan",4.3,1538633850290,0.87
"7km NNE of Buli, Taiwan",4.4,1537214897950,0.93
"16km SSW of Hualian, Taiwan",4.7,1536641006130,0.52
"10km SSE of Hualian, Taiwan",4.4,1536498994470,0.56
"34km NNE of Hualian, Taiwan",4.5,1536389439100,0.49
"7km NNW of Hualian, Taiwan",4.5,1535954387350,0.62
"55km ENE of Taitung City, Taiwan",4.4,1534969815760,0.98
"4km NNE of Buli, Taiwan",4.6,1534551317630,0.65
"10km N of Buli, Taiwan",4.5,1534500580720,0.74
"83km SE of Taitung City, Taiwan",4.2,1533954258660,0.69
"34km ENE of Hengchun, Taiwan",4.1,1533442171700,0.87
"7km ESE of Douliu, Taiwan",4.2,1533217098370,0.99
"28km NNE of Taitung, Taiwan",3.4,1531514555940,1.05
"40km NNE of Taitung City, Taiwan",4.6,1531507120600,0.7
"7km SE of Jiayi Shi, Taiwan",2.7,1531400455280,0.65
"13km NNE of Tainan, Taiwan",2.6,1531343136010,0.35
"12km W of Yujing, Taiwan",4.3,1531312911840,0.47
"43km NNW of Taitung, Taiwan",4.3,1531231102740,1.14
"36km NNE of Taitung City, Taiwan",4.1,1530648616320,0.99
"49km ENE of Yujing, Taiwan",4.6,1530609657510,1.04
"4km SW of Jiayi Shi, Taiwan",4.2,1530516369720,0.32
"27km NNE of Taitung, Taiwan",4.3,1530113200390,1.21
"5km NNE of Su'ao, Taiwan",4.7,1529096034990,0.73
"20km ESE of Hualian, Taiwan",4.7,1528750348410,0.78
"11km ENE of Hualian, Taiwan",4.5,1528731726200,0.61
"13km S of Douliu, Taiwan",3.1,1528618700390,0.34
"76km SSE of Taitung City, Taiwan",4.3,1528319948850,0.82
"15km SE of Buli, Taiwan",4.2,1527904871170,1.08
"8km WSW of Hualian, Taiwan",4.1,1527875005700,0.66
"17km NE of Taitung City, Taiwan",4.6,1527728598540,0.72
"20km SSE of Hualian, Taiwan",4.5,1526098666310,0.84
"51km S of Taitung City, Taiwan",4.1,1524985356680,1.05
"36km SSW of Taitung City, Taiwan",4.5,1524808553740,0.87
"63km ENE of Taitung City, Taiwan",4.2,1524308214320,0.64
"5km S of Jiayi Shi, Taiwan",3.5,1523995349220,0.59
"40km NE of Taitung City, Taiwan",4.6,1523886538770,1.06
"51km E of Taitung City, Taiwan",4.6,1523432369980,0.79
"14km ENE of Lugu, Taiwan",4.4,1522598524590,0.8
"10km NE of Buli, Taiwan",4.8,1522282670710,0.71
"20km NE of Yujing, Taiwan",4.9,1521537776650,0.76
"29km ENE of Hualian, Taiwan",4.4,1521024523270,0.54
"9km NNE of Su'ao, Taiwan",4.4,1520329329920,0.85
"107km E of Hengchun, Taiwan",4.4,1520145140900,0.68
"27km NNE of Hualian, Taiwan",4.6,1520098551460,1.13
"60km S of Hualian, Taiwan",5,1519254640230,1.09
"22km W of Su'ao, Taiwan",5,1519051621420,1
"34km SE of Taitung City, Taiwan",4.3,1518858394960,0.65
"28km ENE of Hualian, Taiwan",4.6,1518632851880,0.8
"13km S of Hualian, Taiwan",4.5,1518334747280,0.43
"34km NE of Hualian, Taiwan",4.2,1518248929440,0.55
"22km ENE of Hualian, Taiwan",4.5,1518201789380,0.87
"8km SE of Hualian, Taiwan",4.7,1518142441950,0.5
"8km SE of Hualian, Taiwan",4.7,1518059163350,0.48
"3km SSW of Hualian, Taiwan",4.5,1518051568130,0.41
"10km SE of Hualian, Taiwan",4.8,1518051256460,0.53
"28km ENE of Hualian, Taiwan",4.4,1518018964530,0.65
"17km NE of Hualian, Taiwan",5.7,1518016891710,1.04
"14km ESE of Hualian, Taiwan",4.6,1518013160760,0.74
"18km ENE of Hualian, Taiwan",4.8,1518008801100,0.86
"12km E of Hualian, Taiwan",4.8,1518001986420,0.54
"25km NE of Hualian, Taiwan",4.1,1517998786380,0.6
"16km ENE of Hualian, Taiwan",4.8,1517974578580,0.71
"15km ENE of Hualian, Taiwan",4.8,1517969882770,0.67
"7km E of Hualian, Taiwan",4.7,1517960631770,0.95
"1km S of Hualian, Taiwan",4.6,1517959448290,0.69
"13km NE of Hualian, Taiwan",4.8,1517958703100,0.71
"4km SSE of Hualian, Taiwan",4.2,1517950969810,0.65
"16km ENE of Hualian, Taiwan",4.7,1517950582350,0.96
"18km ESE of Hualian, Taiwan",4.9,1517945795440,0.8
"15km E of Hualian, Taiwan",5.4,1517944529060,0.74
"18km ENE of Hualian, Taiwan",5.2,1517940458720,0.85
"22km NE of Hualian, Taiwan",5.2,1517940012950,0.91
"7km ESE of Hualian, Taiwan",4.5,1517934404810,0.46
"8km SE of Hualian, Taiwan",5.1,1517933877920,0.67
"14km N of Hualian, Taiwan",4.4,1517932760910,0.41
"18km NNE of Hualian, Taiwan",6.4,1517932243320,0.91
"18km ENE of Hualian, Taiwan",4.6,1517906209070,0.75
"23km NNE of Hualian, Taiwan",4.8,1517893754770,0.97
"19km NE of Hualian, Taiwan",3.9,1517877310280,0.65
"30km ENE of Hualian, Taiwan",4.4,1517852232870,0.76
"20km NE of Hualian, Taiwan",4.8,1517846321310,0.57
"24km NE of Hualian, Taiwan",4.7,1517821604330,1.07
"32km NE of Hualian, Taiwan",4.5,1517763262320,0.65
"29km NE of Hualian, Taiwan",4.6,1517758426880,0.46
"19km NE of Hualian, Taiwan",4.8,1517753814840,0.9
"23km NE of Hualian, Taiwan",5.5,1517753592140,0.56
"31km NE of Hualian, Taiwan",4.7,1517753521690,0.83
"23km NE of Hualian, Taiwan",4.9,1517753451640,0.67
"34km NE of Hualian, Taiwan",4.7,1517753124510,0.93
"22km NNE of Hualian, Taiwan",6.1,1517752601950,0.87
"20km NE of Hualian, Taiwan",4.3,1517751188990,0.72
"25km NNE of Hualian, Taiwan",5,1517749971920,0.95
"22km NNE of Hualian, Taiwan",4.8,1517686256870,0.62
"32km NNW of Taitung City, Taiwan",4.5,1516984290240,1.1
"8km S of Keelung, Taiwan",4.5,1516168751420,0.88
"21km NE of Taitung, Taiwan",4.2,1514834523580,1.23
"27km NNW of Taitung City, Taiwan",4.2,1514754523760,1.19
"20km S of Lugu, Taiwan",4.5,1511470532530,0.88
"23km S of Lugu, Taiwan",5.1,1511360410280,0.97
"11km SSW of Lugu, Taiwan",4.9,1510402973990,0.43
"12km S of Lugu, Taiwan",4.6,1510398880380,0.96
"51km S of Hualian, Taiwan",4.9,1509752087750,1.05
"25km N of Taitung City, Taiwan",4.7,1509677341260,1.08
"22km N of Taitung City, Taiwan",4.5,1509677297160,0.74
"91km E of Hengchun, Taiwan",4.3,1509564820140,1.27
"73km E of Hengchun, Taiwan",4.5,1509561693400,0.82
"47km SE of Taitung City, Taiwan",4.6,1507505392730,0.9
"74km SSE of Hualian, Taiwan",5.4,1505917796600,1.2
"46km S of Hualian, Taiwan",4.2,1505687993760,0.98
"90km SE of Taitung City, Taiwan",4.2,1504637747410,0.67
"31km W of Hengchun, Taiwan",4.4,1503432066070,0.77
"55km E of Hengchun, Taiwan",4.5,1502582915300,0.88
"60km NE of Taitung City, Taiwan",4.5,1502416733520,0.96
"55km S of Hualian, Taiwan",4.4,1502294735020,0.8
"66km SSW of Kaohsiung, Taiwan",4.4,1500986516130,0.96
"30km WSW of Hengchun, Taiwan",4.4,1500134061700,0.62
"8km NE of Su'ao, Taiwan",4.2,1498029939400,0.78
"1km NW of Fengshan, Taiwan",3.9,1497562158420,0.94
"72km SE of Taitung City, Taiwan",4.1,1496803506460,0.75
"12km SSE of Jiayi Shi, Taiwan",4.5,1495631454520,0.63
"63km NNE of Taitung, Taiwan",5.3,1494889973510,0.98
"26km SSE of Su'ao, Taiwan",4,1494228601420,0.69
"61km S of Hualian, Taiwan",4.2,1493960850060,0.71
"19km N of Taitung City, Taiwan",4.3,1492705212460,1.02
"24km S of Taitung City, Taiwan",4.5,1490805242740,0.71
"51km E of Taitung City, Taiwan",4.7,1487055276290,1.02
"18km S of Tainan, Taiwan",5.3,1486746773400,0.71
"18km E of Yujing, Taiwan",4.3,1484155864350,0.87
"23km E of Hualian, Taiwan",4.4,1483513641810,0.84
"26km N of Taitung City, Taiwan",4,1481850299520,0.28
"23km NE of Taitung City, Taiwan",4.9,1481811271310,1.4
"45km E of Taitung City, Taiwan",4.2,1480747029520,0.95
"67km SE of Taitung City, Taiwan",4.1,1480745625960,1.4
"25km ENE of Taitung City, Taiwan",4.6,1480507474260,1.01
"19km SSE of Su'ao, Taiwan",4.5,1480432258800,0.94
"18km SSE of Su'ao, Taiwan",4.3,1480432245900,1.07
"65km ENE of Hengchun, Taiwan",4.3,1480377577340,0.89
"34km NE of Taitung City, Taiwan",4.9,1478519785990,0.96
"30km NNE of Hualian, Taiwan",4.5,1477741757770,0.66
"38km ESE of Taitung City, Taiwan",4.9,1477370750230,1.04
"21km SE of Hualian, Taiwan",4.5,1476391538000,1.44
"52km NE of Taitung City, Taiwan",4.4,1476130683300,0.68
"33km ESE of Taitung City, Taiwan",5.8,1475769119200,1.09
"24km SE of Su'ao, Taiwan",4.5,1472660934270,0.81
"24km NNW of Taitung City, Taiwan",4.2,1471892894020,0.91
"38km ESE of Jiayi Shi, Taiwan",4.2,1471592337540,0.5
"33km NE of Hualian, Taiwan",4.3,1469592155580,0.68
"21km N of Buli, Taiwan",4.3,1469019332820,1.27
"51km ENE of Hengchun, Taiwan",4.2,1468924769790,0.76
"52km NNE of Taitung City, Taiwan",4.3,1468467143200,0.64
"47km WNW of Hengchun, Taiwan",4.1,1468400673240,0.77
"34km S of Kaohsiung, Taiwan",4.4,1466612368100,0.32
"24km NE of Yilan, Taiwan",4.4,1466409209830,0.88
"60km NE of Taitung City, Taiwan",4.3,1466383184020,0.79
"30km E of Hualian, Taiwan",4.4,1465912469300,0.73
"32km SW of Hualian, Taiwan",4.2,1465897242790,0.64
"21km NE of Hualian, Taiwan",4.5,1464576767220,0.77
"31km W of Hengchun, Taiwan",4.1,1464184476520,0.56
"16km NNE of Pingtung, Taiwan",4.6,1463882778350,0.66
"21km NE of Pingtung, Taiwan",4.8,1463863900430,0.64
"28km NNE of Hualian, Taiwan",4.2,1463809667170,1
"68km NE of Taitung City, Taiwan",4.7,1463530965440,0.98
"25km NE of Hualian, Taiwan",4.3,1463218016400,0.5
"41km ENE of Hualian, Taiwan",4.4,1463196902570,0.89
"30km NE of Hualian, Taiwan",4.6,1463196768350,0.75
"27km NE of Hualian, Taiwan",4.5,1463195522800,0.73
"22km NE of Su'ao, Taiwan",5.1,1463127852400,0.88
"14km NE of Su'ao, Taiwan",4.4,1463023282270,0.53
"14km NE of Su'ao, Taiwan",4.4,1463023251600,0.88
"17km NE of Su'ao, Taiwan",5.8,1463023035070,1
"5km NE of Buli, Taiwan",4.6,1462675592870,0.49
"29km NE of Hualian, Taiwan",4.5,1462632668480,0.76
"57km S of Hualian, Taiwan",4.4,1462521204280,0.75
"27km NNE of Hualian, Taiwan",4.1,1462222416140,0.73
"25km NNE of Hualian, Taiwan",4.6,1462199340440,0.67
"27km NNE of Hualian, Taiwan",4.5,1462056417120,0.56
"27km NE of Hualian, Taiwan",4.1,1461867278230,0.79
"37km NNE of Hualian, Taiwan",4,1461806086660,0.5
"31km NE of Hualian, Taiwan",4.2,1461791706150,0.95
"66km NNE of Taitung, Taiwan",5,1461781145080,1.13
"33km S of Su'ao, Taiwan",4.3,1461774794440,0.66
"36km NE of Hualian, Taiwan",4.5,1461771145690,0.54
"30km NE of Hualian, Taiwan",4.7,1461770858450,0.94
"34km NE of Hualian, Taiwan",5.5,1461770234440,0.83
"2km WNW of Hualian, Taiwan",4.3,1461635148050,0.65
"66km S of Hualian, Taiwan",4.3,1461559950200,0.76
"48km N of Taitung City, Taiwan",4.3,1461553106250,0.91
"46km N of Taitung City, Taiwan",4.2,1460934749540,0.44
"81km ESE of Taitung City, Taiwan",4.9,1460804145250,0.91
"14km ESE of Hualian, Taiwan",4.4,1460430478800,0.43
"5km SW of Su'ao, Taiwan",3.9,1460345124170,0.75
"32km SSW of Taitung City, Taiwan",4.1,1460104275420,0.99
"14km ENE of Taitung City, Taiwan",4.3,1459152480680,0.91
"45km ENE of Hengchun, Taiwan",4.1,1458585290760,0.83
"5km WNW of Hualian, Taiwan",4.5,1456843332340,0.86
"13km N of Yilan, Taiwan",4,1456709774230,0.62
"48km S of Taitung City, Taiwan",4.4,1456541992930,0.9
"37km NW of Taitung, Taiwan",4.7,1455758312470,0.88
"31km NW of Taitung City, Taiwan",4.9,1455757779290,0.66
"38km NW of Taitung City, Taiwan",4.6,1455595495680,0.92
"29km NW of Taitung City, Taiwan",4.3,1455590758980,0.51
"37km NW of Taitung City, Taiwan",4.2,1455513757750,0.89
"14km SE of Hualian, Taiwan",4.9,1454978821430,0.85
"16km SE of Tainan, Taiwan",4.1,1454766115910,1.38
"25km SE of Yujing, Taiwan",6.4,1454702247380,1.19
"30km E of Taitung City, Taiwan",4.1,1453304144920,0.74
"21km ENE of Taitung City, Taiwan",5.6,1453169607240,0.82
"22km NE of Hualian, Taiwan",4.1,1452705758230,0.98
"23km ENE of Hualian, Taiwan",4.1,1452705107530,0.89
"65km S of Hualian, Taiwan",4.6,1452487977870,1.15
"24km SSE of Su'ao, Taiwan",3.9,1451836809600,1.13
