Title,Company,Location,Date
"Manager, External Relations (Ref. M(ER))",Urban Renewal Authority,Not Specified,22-Oct-18
"Lead Manager, Media Relations (Corporate Development Division) (Ref: CDD213/JDB/221018)",Hong Kong Productivity Council,Not Specified,22-Oct-18
"Manager, Communications & Public Affairs (English Editorial)",Hong Kong Trade Development Council,Wan Chai Area,19-Oct-18
Content Expert,Telum Media HK Limited,Eastern Area,19-Oct-18
Women’s Wear Brand - Marketing Coordinator,Emma Wallace,Central & Western Area,19-Oct-18
Journalist – Financial Publishing,Initiative Recruitment Hong Kong Limited,Not Specified,19-Oct-18
Media Relations Executive,Hong Kong Trade Development Council,Wan Chai Area,18-Oct-18
Women’s Wear Brand - Marketing Coordinator,Emma Wallace,Central & Western Area,18-Oct-18
Women’s Wear Brand - Marketing Coordinator,Emma Wallace,Central & Western Area,12-Oct-18
"Deputy Manager, Communications & Public Affairs",Hong Kong Trade Development Council,Wan Chai Area,11-Oct-18
Android Developer,Dow Jones & Co,Wan Chai Area,11-Oct-18
Investor & Media Relations Consultant / Senior Consultant,PRChina Limited,Central & Western Area,09-Oct-18
Contract Assistant Editor (4 months contract),Adsale Exhibition Services Ltd,Eastern Area,08-Oct-18
Marketing Officer,Dining Workshop (Hong Kong) Limited,Sham Shui Po Area,08-Oct-18
Assistant Marketing Manager (Event & PR),Ztore HK Limited,Sham Shui Po Area,05-Oct-18
SUB-EDITOR,Phoenix Satellite Television Co Ltd,Tai Po Area,05-Oct-18
Senior Reporter - Financial Journalism,Initiative Recruitment Hong Kong Limited,Not Specified,05-Oct-18
Sr. Media Relations Executive,Global Sources,Southern Area,02-Oct-18
Regional Director of Public Relations,Langham Hotels International Ltd,Wan Chai Area,28-Sep-18
Relationship Manager //Strong Japanese // International Finance Firm// up to 30K //Good Benefits,RGF HR Agent Hong Kong Limited,Central & Western Area,27-Sep-18
Audience Development Executive,PR Newswire Asia Limited,Wan Chai Area,27-Sep-18
"Senior Digital Executive, Hong Kong, Macau & Taiwan",Swarovski Hong Kong Ltd,Eastern Area,26-Sep-18
PR Officer,Xiaomi H.K. Limited,Not Specified,26-Sep-18
